filename,width,height,class,xmin,ymin,xmax,ymax
000_14M0LD-e1525732547750-400x250.jpg,400,250,military tank,121,60,220,144
000_14M0LD-e1525732547750-400x250.jpg,400,250,military tank,198,108,371,197
000_1H95VB.width-800.jpg,800,532,military aircraft,30,168,622,505
000_1LC27X-e1570900274807-1024x640.jpg,1024,640,military tank,78,92,858,563
000_1LC27X-e1570900274807-1024x640.jpg,1024,640,military truck,816,288,1012,554
0023ae82ca0f1487c33a46.jpg,900,618,civilian aircraft,5,62,857,590
01-BOAC-Comet-1-G-BOAC-AI-PM-1953-0603-Marvin-G-Goldman-Colln.jpg,1626,1038,civilian aircraft,115,375,1593,784
01-honda-civic-si-sedan.jpg,2480,1600,civilian car,731,551,2222,1385
0101020114.side.jpg,918,516,civilian car,108,160,815,413
010205-F-1631A-001.jpg,780,512,military aircraft,81,185,701,411
013d6ebd2b2951fb52c8ddf18f8de3bf.jpg,400,266,civilian aircraft,5,71,394,222
0158.jpg,3245,2242,civilian aircraft,1828,418,3229,1005
0158.jpg,3245,2242,civilian aircraft,1787,1409,3021,1902
0158.jpg,3245,2242,civilian aircraft,172,76,666,248
0158.jpg,3245,2242,civilian aircraft,905,63,1452,275
0158.jpg,3245,2242,civilian aircraft,185,421,585,593
0158.jpg,3245,2242,civilian aircraft,644,418,1095,633
0158.jpg,3245,2242,civilian aircraft,1129,452,1516,651
0158.jpg,3245,2242,civilian aircraft,147,634,626,915
0158.jpg,3245,2242,civilian aircraft,698,709,1047,893
0158.jpg,3245,2242,civilian aircraft,1108,736,1498,893
01convoy01.jpg,670,434,military truck,37,36,662,417
020307-N-5067K-001.jpg,1600,1198,military helicopter,235,58,1393,1059
022713tank_960x540.jpg,960,540,military tank,136,51,765,499
03-Aerolineas-Argentinas-Comet-4-AI-PM-1959-0516-Marvin-G-Goldman-Colln.jpg,1612,1038,civilian aircraft,48,238,1482,708
03-Aerolineas-Argentinas-Comet-4-AI-PM-1959-0516-Marvin-G-Goldman-Colln.jpg,1612,1038,civilian aircraft,1129,92,1563,235
03d_on12_bell47gfranksteinkohl01_live.jpg,3269,2179,military helicopter,700,752,2731,1556
03helicopters2-span-articleLarge.jpg,600,364,military helicopter,60,40,193,87
03helicopters2-span-articleLarge.jpg,600,364,military helicopter,275,97,366,139
03helicopters2-span-articleLarge.jpg,600,364,military helicopter,358,149,445,185
03helicopters2-span-articleLarge.jpg,600,364,military helicopter,430,55,537,104
03vid-tanks-videoSixteenByNine390.jpg,390,219,military tank,90,86,340,216
04a_sep2019_loadslinghummertrailer_live.jpg,7800,4016,military helicopter,1288,382,4623,2298
04a_sep2019_loadslinghummertrailer_live.jpg,7800,4016,military truck,1357,2456,2887,3414
04truck.jpg,370,232,military truck,61,57,294,203
0521_us_730_3.jpg,319,278,military aircraft,5,49,315,167
0546PA19.jpg,600,400,civilian aircraft,18,63,589,327
06hack4.jpg,370,288,military truck,11,28,356,260
06sd4.jpg,580,379,military helicopter,62,76,424,315
06sd6.jpg,580,388,military helicopter,67,29,496,334
06sd9.jpg,300,300,military helicopter,4,98,260,198
0708hpc-outlook2.jpg,500,335,civilian aircraft,23,63,484,293
071917_0109_redchinacon4.jpg,1225,689,military truck,7,68,359,642
071917_0109_redchinacon4.jpg,1225,689,military truck,374,233,626,578
071917_0109_redchinacon4.jpg,1225,689,military truck,644,296,771,537
071917_0109_redchinacon4.jpg,1225,689,military truck,786,341,838,474
071917_0109_redchinacon4.jpg,1225,689,military truck,851,349,917,451
075cf5d247476d01f7cd71ec359ce8dd.jpg,800,1213,civilian aircraft,21,157,787,1103
07734414.jpg,1920,1162,military aircraft,219,452,964,963
07734414.jpg,1920,1162,military aircraft,1024,267,1762,704
0849601.jpg,1024,780,military helicopter,151,81,976,659
086-car-top-view-vector-free.jpg,600,475,civilian car,57,17,528,462
094-top-view-AAVP-7A1-RAM-RS-HobC2ADbyBoss-82415.jpg,960,720,military tank,161,55,867,456
09atwar-grandfather-1-articleLarge.jpg,600,382,military tank,84,98,591,359
0b28dfae627833f2697dddd956d57558--panzer-iv-military-tank.jpg,235,179,military tank,18,26,221,121
0c1a3269dca7c2a3cddec316466b39a0.jpg,500,333,military helicopter,67,18,471,300
0de8a1c1ce19bc38c5c6b79aca6f074c.jpg,1024,683,civilian aircraft,52,90,954,506
0efe40e2a12d35b5801a0b236d486c58.jpg,550,550,military aircraft,4,48,549,496
0f0c81a7303883289bd9d0e9b468b834.jpg,2130,4780,military tank,261,485,2016,4543
0gDqyrWQxW1AT7h1x.jpg,1620,1034,military tank,312,315,1359,951
0TREpvY3xoDJIKMK8.jpg,1200,755,military tank,589,238,1033,509
0_1346310708840_l.jpg,360,360,military tank,37,89,342,282
0_A-Puma-helicopter-believed-to-have-been-carrying-senior-officers-arrives-at-RAF-Valley-for-a-ceremon.jpg,1200,900,military helicopter,99,200,1158,687
0_BEN-OFFICIAL-20190520-212-631.jpg,615,409,military helicopter,112,91,546,384
0_INDIA-PAKISTAN-KASHMIR-UNREST.jpg,615,410,military truck,11,81,438,348
1(1).jpg,852,480,military tank,144,156,493,300
1(1).jpg,852,480,military tank,24,239,367,396
1(1).jpg,852,480,military tank,20,294,199,457
1(1).jpg,852,480,military truck,384,83,684,217
1(1).jpg,852,480,military truck,607,26,824,172
1(2).jpg,852,480,military truck,14,76,404,397
1(2).jpg,852,480,military truck,483,287,547,407
1(2).jpg,852,480,civilian car,608,360,658,397
1(3).jpg,500,289,civilian aircraft,73,138,450,234
1(3).jpg,500,289,civilian aircraft,27,170,176,227
1(4).jpg,852,480,military helicopter,193,191,473,293
1-129.jpg,1200,628,military truck,14,80,594,288
1-288.jpg,660,440,military truck,95,92,608,365
1-620.jpg,660,440,military truck,48,121,654,396
1-72-Scale-F35-Military-Plane-Model.jpg,300,300,military aircraft,40,53,272,277
1-helicopter-1.jpg,550,254,military helicopter,25,45,409,233
1-image-Mi-26.jpg,600,400,military helicopter,82,87,552,330
1-lexus-ls500h-2018-rt-hero-front_0.jpg,900,596,civilian car,191,220,767,493
1.-turret-1024x836.jpg,1024,836,military tank,128,408,961,783
1.-turret-1024x836.jpg,1024,836,military tank,292,117,867,379
10(2).jpg,853,480,civilian aircraft,345,332,480,406
10(2).jpg,853,480,civilian aircraft,512,337,652,429
10(2).jpg,853,480,civilian aircraft,661,381,729,435
10(2).jpg,853,480,civilian aircraft,738,378,829,446
10(2).jpg,853,480,civilian aircraft,244,329,331,397
10(2).jpg,853,480,civilian aircraft,151,324,227,395
10(2).jpg,853,480,civilian aircraft,268,264,313,292
10(2).jpg,853,480,civilian aircraft,335,272,375,291
10(2).jpg,853,480,civilian aircraft,401,274,445,295
10(2).jpg,853,480,civilian aircraft,548,285,585,311
10(2).jpg,853,480,civilian aircraft,626,288,667,313
10(2).jpg,853,480,civilian aircraft,697,297,744,321
10(2).jpg,853,480,civilian aircraft,770,301,819,324
10(2).jpg,853,480,civilian aircraft,48,248,89,268
10(2).jpg,853,480,civilian aircraft,141,258,199,282
10(2).jpg,853,480,civilian aircraft,5,305,48,354
10(2).jpg,853,480,civilian aircraft,55,312,106,344
10(2).jpg,853,480,civilian aircraft,74,320,148,363
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,48,110,286,291
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,319,40,538,243
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,567,103,787,255
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,826,160,1039,297
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,58,325,274,484
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,316,290,524,429
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,566,283,778,457
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,855,380,1048,548
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,293,462,498,654
10-helicopter-top-view-silhouette-cover.jpg,1101,707,military helicopter,534,486,784,637
10-image-AW109-LUH.jpg,600,400,military helicopter,73,41,439,303
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military truck,210,75,735,411
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military truck,724,245,783,308
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military truck,138,201,204,252
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military truck,49,197,118,243
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military truck,4,185,45,234
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military helicopter,59,56,114,91
10.20BEML20Multipurpose20Military20vehicle.jpg,800,454,military helicopter,2,72,50,105
10.jpg,1480,468,civilian car,238,43,1221,396
100069_580x.jpg,580,579,military tank,31,94,569,481
100680-mahindraxuv300JPG.jpg,849,478,civilian car,5,87,724,453
1010-min.jpg,1384,968,military truck,47,251,1356,809
10164668929_1310550287_1024x1024.jpg,800,800,military tank,12,94,793,552
10195209t2.jpg,707,990,military tank,198,23,675,224
10195209t2.jpg,707,990,military tank,203,255,683,510
10195209t2.jpg,707,990,military tank,28,534,674,738
10195209t2.jpg,707,990,military tank,35,759,281,962
10195209t2.jpg,707,990,military tank,411,752,674,961
1024px-COMAC_C919_-_Commercial_Aircraft_Corporation_Of_China_AN4748979-820x394.jpg,820,394,civilian aircraft,37,97,787,267
1024px-Leo2pso_009.jpg,1024,768,military tank,47,151,1010,680
1024px-YF-23_top_view.jpg,780,622,military aircraft,59,83,689,461
10270691engGBterextrucksrigidhaulersthetr70andtr100arehelpingswecontoexpanditsmachinerangeinsweden-1680x600.jpg,1680,600,military truck,180,26,1421,580
103068869-car-top-view-vector.jpg,321,538,civilian car,34,11,296,529
10331_cc2400_001_PQ_F150_red_712x534._V292176538_.jpg,712,534,civilian car,31,156,687,372
103791628-GettyImages-546918386.jpg,1024,684,military aircraft,35,293,1021,549
103836446_India_jet_FOREIGN_trans_NvBQzQNjv4BqniLs_ck1w-iIu15kYzVq2UgFv3BvQ-SouwQ_s3X3IVI.jpg,2880,1800,military aircraft,114,123,2802,1674
1042600592.jpg,1000,541,military aircraft,131,134,985,402
104578368-GettyImages-486248033.jpg,3500,2312,military aircraft,1178,297,2900,924
104578368-GettyImages-486248033.jpg,3500,2312,military aircraft,134,1018,3472,2200
1046967441.jpg,1000,541,military truck,23,20,872,435
10498583_10154397777405615_1640070484116117544_o.jpg,2048,1327,military truck,744,221,1657,956
1051224457.jpg,1000,541,military truck,179,19,912,466
105202755_1490693538.jpg,631,376,military truck,11,85,609,339
1052051883.jpg,1000,541,military helicopter,32,12,943,397
1053467.jpg,1920,1105,civilian aircraft,165,145,1773,614
1054465381.jpg,1000,541,military truck,9,13,572,484
1054465381.jpg,1000,541,military truck,597,22,995,404
106079145-top-view-of-f22-american-military-fighter-plane-on-white-background-3d-rendering.jpg,1300,1300,military aircraft,206,172,1153,1105
10680a6ad8ff48809cc515df42e2761e_c0x0-1600x686.jpg,1600,686,civilian car,50,209,783,625
106952-cars.jpg,850,478,civilian car,8,3,383,466
106952-cars.jpg,850,478,civilian car,254,9,563,463
106952-cars.jpg,850,478,civilian car,453,16,687,439
1077408135.jpg,1000,541,military truck,37,207,700,443
108604eb3a0246b68039b0d10096a554_c0x0-1600x686.jpg,1600,686,civilian car,356,119,937,415
10889.jpg,400,400,military helicopter,114,44,316,382
10985257071575964677916964634.jpg,750,360,military aircraft,48,17,694,231
10l-image-VT4.jpg,600,400,military tank,50,106,244,177
10l-image-VT4.jpg,600,400,military tank,9,186,389,363
11-9.jpg,1500,968,military truck,56,321,899,730
11-9.jpg,1500,968,military truck,635,291,1482,585
11.jpg,852,480,military tank,102,80,567,206
11.jpg,852,480,military tank,168,196,683,280
11.jpg,852,480,military tank,222,294,849,467
1100639-cover.jpg,466,580,civilian car,62,214,416,352
110071072_mediaitem110071069.jpg,960,540,military aircraft,31,54,937,452
1103576.jpg,800,630,civilian car,35,148,765,483
111217__79003.1415685624.jpg,2000,1020,military helicopter,234,109,1909,929
1120233-cover.jpg,466,580,civilian car,36,190,416,376
112119-main-image.jpg,1120,630,civilian car,30,211,439,499
112119-main-image.jpg,1120,630,civilian car,452,100,1099,494
112711-cbtdwziecu-1549851108.jpg,1200,630,military helicopter,228,218,909,471
113131466-commercial-jet-plane-3d-render-view-from-the-top.jpg,1300,1300,civilian aircraft,35,49,1272,1213
113247d1237381337-4x4s-indian-army-tata-1210-sd-4x4.jpg,513,343,military truck,4,30,459,316
113248d1237381337-4x4s-indian-army-tata-lpta-1615-tc-4x4.jpg,500,345,military truck,44,31,476,305
113360d1237393313-4x4s-indian-army-beml_tatra_truck_defexpo_2004_india_01.jpg,800,600,military truck,146,123,658,512
113388238-desert-gray-old-military-tank-top-down-view.jpg,1300,970,military tank,31,265,1276,729
113895d1237533437-4x4s-indian-army-stallion.jpg,670,422,military truck,102,77,548,332
114296050-car-from-above-top-view-cute-cartoon-car-with-shadows-modern-urban-civilian-vehicle-one-of-the-colle.jpg,1300,1300,civilian car,401,38,900,1281
114296062-car-from-above-top-view-cute-cartoon-car-with-shadows-modern-urban-civilian-vehicle-english-style-si.jpg,1300,1300,civilian car,411,105,898,1185
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,153,49,326,485
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,559,41,767,490
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,945,27,1171,489
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,123,577,345,1067
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,550,582,770,1072
114296202-transport-set-from-above-top-view-cute-cartoon-cars-with-shadows-modern-urban-civilian-vehicles-coll.jpg,1300,1114,civilian car,970,574,1144,1067
11457.jpg,735,485,military tank,55,49,666,371
117.jpg,630,420,civilian car,37,87,574,383
118757798-military-helicopter-top-view-isolated-on-white-3d-rendering.jpg,1133,1300,military helicopter,141,125,1049,1245
119369.jpg,3648,2736,military tank,262,111,3475,2576
119526_1.jpg,630,630,civilian car,220,188,405,269
12.jpg,852,480,civilian car,750,329,849,415
12.jpg,852,480,military truck,109,45,522,425
12.jpg,852,480,military truck,529,194,625,398
1200px-20060714_defile_blindes_p1040887.jpg,1200,900,military tank,88,248,1176,744
1200px-2013_Moscow_Victory_Day_Parade_282829.jpg,1200,775,military tank,88,168,1188,633
1200px-2015_MCAS_Beaufort_Air_Show_041215-M-CG676-161(1).jpg,1200,800,military truck,90,47,1122,765
1200px-A-10_-_32156159151(1).jpg,1200,815,military aircraft,51,150,1170,656
1200px-AH-64D_Apache_Longbow.jpg,1200,884,military helicopter,215,161,1178,534
1200px-AJAX2C_the_Future_Armoured_Fighting_Vehicle_for_the_British_Army_MOD_45159441.jpg,1200,798,military tank,123,51,1037,738
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,99,801,178,915
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,287,819,368,901
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,560,753,776,941
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,212,816,271,867
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,6,816,67,884
1200px-ALCOB_Ashok_Leyland_Corporate_Building_in_Guindy2C_Chennai.jpg,1200,960,civilian car,933,804,1063,878
1200px-An_air-to-air_left_front_view_of_an_F-111_aircraft_during_a_refueling_mission_over_the_North_Sea_DF-ST-89-03609_28altered29.jpg,1200,811,military aircraft,50,46,1105,687
1200px-A_Royal_Air_Force_Puma_helicopter_over_the_English_countryside.jpg,1200,742,military helicopter,180,146,1125,626
1200px-B-1B_air_refueling.jpg,1200,946,military aircraft,117,90,1047,835
1200px-B-727_Iberia_28cropped29.jpg,1200,800,civilian aircraft,51,199,1184,557
1200px-B-747_Iberia.jpg,1200,800,civilian aircraft,11,202,1177,543
1200px-Buffalo_HJPEG.jpg,1200,960,military truck,59,256,1124,765
1200px-BWP-1_Baltops_2016_0283.jpg,1200,769,military tank,83,287,1157,628
1200px-C-17_test_sortie(1).jpg,1200,857,military aircraft,61,198,1111,663
1200px-C17_Globmaster_refueling_from_KC135_Stratotanker.jpg,1200,795,military aircraft,249,317,943,725
1200px-C47_Skytrain_-_Duxford_D-Day_Show_2014_28cropped29.jpg,1200,684,military aircraft,16,127,1170,495
1200px-Canberra_T_4_MOD_45144929_28cropped29.jpg,1200,778,military aircraft,25,167,1166,664
1200px-CH-46_Sea_Knight_Helicopter.jpg,1200,800,military helicopter,12,48,1177,724
1200px-Decisive_Action_Rotation_13-04_130218-A-ML570-001(1).jpg,1200,800,military tank,29,71,1038,724
1200px-Douglas_A-4E_Skyhawk_of_VA-164_in_flight_over_Vietnam_on_21_November_1967_28643010129.jpg,1200,959,military aircraft,101,275,1128,703
1200px-Duxford_Air_Festival_2017_-_mig1_283484201605129.jpg,1200,793,military aircraft,61,134,1144,687
1200px-F-35A_flight.jpg,1200,798,military aircraft,753,314,1146,607
